,Logistic,L1 regularised,L2 regularised,Decision Tree_depths,Decision Tree_features,KNN,AdaBoost,Emsamble,Gaussian Naive Bayes,LDA,QDA,Regularised QDA
Error rate,0.15,0.15,0.15,0.291,0.203,0.159,0.153,0.148,0.205,0.155,0.201,0.187
SE,0.005,0.005,0.005,0.007,0.006,0.006,0.005,0.005,0.006,0.005,0.006,0.006
Sensitivity,0.20495185694635487,0.20357634112792297,0.20357634112792297,0.8211829436038515,0.3796423658872077,0.1499312242090784,0.22696011004126548,0.2077028885832187,0.5392022008253095,0.22420907840440166,0.5199449793672627,0.43878954607977994
Specificity,0.9795636564484949,0.9792874896437448,0.9795636564484949,0.6865506766086716,0.8806959403479702,0.9795636564484949,0.9712786523059929,0.9809444904722452,0.8464512565589616,0.9690693178679922,0.8552885943109638,0.8884286108809721
AUC,0.838,0.838,0.838,0.825,0.63,0.777,0.824,0.836,0.796,0.812,0.795,0.787
Precision,0.668,0.664,0.667,0.345,0.39,0.596,0.613,0.686,0.414,0.593,0.419,0.441
