,Combined Naive Bayes,Logistic,L1 regularised,L2 regularised,Decision Tree_depths,LDA,QDA,Regularised QDA
Error rate,0.226,0.147,0.15,0.148,0.153,0.156,0.215,0.207
SE,0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.006
Sensitivity,0.6079779917469051,0.29160935350756534,0.27785419532324623,0.2792297111416781,0.2530949105914718,0.29160935350756534,0.5447042640990372,0.5089408528198074
Specificity,0.8072355702844518,0.9654791494062414,0.9652029826014913,0.9665838166252416,0.9657553162109914,0.9549848108257387,0.8334714167357083,0.8503175918254626
AUC,0.783,0.847,0.846,0.847,0.818,0.837,0.799,0.793
Precision,0.388,0.629,0.616,0.627,0.597,0.565,0.396,0.406
