,Combined Naive Bayes,Logistic,L1 regularised,L2 regularised,Decision Tree_depths,LDA,QDA,Regularised QDA
Error rate,0.261,0.245,0.246,0.244,0.269,0.254,0.243,0.262
SE,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
Sensitivity,0.6905089408528198,0.7771664374140302,0.7771664374140302,0.7799174690508941,0.7290233837689133,0.8005502063273727,0.6286107290233838,0.7001375515818432
Specificity,0.7486882076774372,0.7508975421154377,0.7495167080916874,0.7506213753106876,0.731842032587683,0.7346037006351837,0.7829328914664457,0.7453742060204364
AUC,0.784,0.846,0.846,0.846,0.812,0.845,0.795,0.795
Precision,0.356,0.385,0.384,0.386,0.353,0.377,0.368,0.356
